price,price_per_sqm,latitude,longitude,surface,rooms,heating_type,floor,rent,property_status,property_type,property form,freeFrom,sellerType,construction_year,building_type,distance_school,has_school_nearby,distance_park,has_park_nearby,distance_transport,has_transport_nearby,distance_supermarket,has_supermarket_nearby,distance_hospital,has_hospital_nearby,distance_restaurant,has_restaurant_nearby,distance_gym,has_gym_nearby,distance_mall,has_mall_nearby,accessibility_score,facility_count,accessibility_label,avg_room_size,year_built_category,city,Județ,county_sales_april_2025_log
140000.0,2642.0,46.7991558,23.6079041,53.0,2.0,centralizatăƒ,2.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,privat,2024.0,bloc,522.0,1,484.0,1,47.0,1,235.0,1,1062.0,1,1006.0,0,194.0,1,253.0,1,100.0,7.0,Excellent - Everything you need within walking distance,26.5,post-2019,Cluj-Napoca,cluj,7.881559917056899
97900.0,1813.0,44.4137521,26.1108024,54.0,2.0,centrală pe gaz,10.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-24,privat,2019.0,bloc,488.0,1,102.0,1,338.0,1,139.0,1,264.0,1,336.0,1,461.0,1,112.0,1,97.0,8.0,Excellent - Everything you need within walking distance,27.0,2010-2019,Bucuresti,bucuresti,8.921457578947884
132000.0,1592.0,44.4068092,26.0242288,82.9,3.0,centrală pe gaz,5.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,dezvoltator,2025.0,bloc,719.0,1,572.0,1,376.0,1,800.0,1,702.0,1,787.0,1,1083.0,0,1166.0,1,97.0,7.0,Excellent - Everything you need within walking distance,27.633333333333336,post-2019,Bucuresti,bucuresti,8.921457578947884
105000.0,2838.0,46.7560382,23.5501097,37.0,2.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1980.0,bloc,222.0,1,129.0,1,262.0,1,202.0,1,297.0,1,216.0,1,204.0,1,649.0,1,97.0,8.0,Excellent - Everything you need within walking distance,18.5,1980-1999,Cluj-Napoca,cluj,7.881559917056899
127475.0,1733.0,44.5490478,26.1251037,73.56,2.0,centrală pe gaz,3.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,345.0,1,1027.0,0,10.0,1,161.0,1,1284.0,1,80.0,1,1211.0,0,1138.0,1,100.0,6.0,Excellent - Everything you need within walking distance,36.78,post-2019,1 Decembrie,vaslui,6.508769136971682
205925.0,2860.0,44.4272848,26.0924412,72.0,3.0,centrală pe gaz,3.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,clădire de apartamente,920.0,1,342.0,1,435.0,1,132.0,1,313.0,1,739.0,1,450.0,1,958.0,1,93.0,8.0,Excellent - Everything you need within walking distance,24.0,post-2019,Bucuresti,bucuresti,8.921457578947884
88000.0,1670.0,47.2100127,27.5089568,52.7,2.0,centrală pe gaz,1.0,450 â‚¬,gata de utilizare,locuință nouă,drept de proprietate,2027-07-01,agenție,2021.0,bloc,791.0,1,2002.7799999999897,0,140.0,1,1682.0,0,-1.0,0,1385.0,0,2137.0,0,2229.959999999999,0,62.0,2.0,Above Average - Most amenities within reach,26.35,post-2019,Rediu,galati,7.01301578963963
134000.0,1594.0,44.4068092,26.0242288,84.06,3.0,centrală pe gaz,3.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,dezvoltator,2025.0,bloc,719.0,1,572.0,1,376.0,1,800.0,1,702.0,1,787.0,1,1083.0,0,1166.0,1,97.0,7.0,Excellent - Everything you need within walking distance,28.02,post-2019,Bucuresti,bucuresti,8.921457578947884
67000.0,1264.0,44.3670339,26.1394839,53.0,2.0,centrală pe gaz,3.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2024.0,clădire de apartamente,307.0,1,318.0,1,343.0,1,443.0,1,382.0,1,354.0,1,446.0,1,830.0,1,97.0,8.0,Excellent - Everything you need within walking distance,26.5,post-2019,Bucuresti,bucuresti,8.921457578947884
166000.0,1894.0,44.37349,26.1394921,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2017.0,bloc,434.0,1,403.0,1,206.0,1,315.0,1,322.0,1,315.0,1,324.0,1,743.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,2010-2019,Bucuresti,bucuresti,8.921457578947884
