id;url;title;price;price_per_sqm;latitude;longitude;address;surface;rooms;heating_type;floor;rent;property_status;property_type;property form;freeFrom;sellerType;additional information;construction_year;building_type;distance_school;has_school_nearby;distance_park;has_park_nearby;distance_transport;has_transport_nearby;distance_supermarket;has_supermarket_nearby;distance_hospital;has_hospital_nearby;distance_restaurant;has_restaurant_nearby;distance_gym;has_gym_nearby;distance_mall;has_mall_nearby;accessibility_score;facility_count;accessibility_label
IDDfWP;https://www.storia.ro/ro/ofărăa/apartament-2-camere-decomandat-37-mp-zona-strazii-ravasului-IDDfWP;APARTAMENT 2 CAMERE DECOMANDAT 37 MP ZONA STRAZII RAVASULUI;105000.0;2838.0;46.7560382;23.5501097;Strada Grigore Alexandrescu, Manastur, Cluj-Napoca, Cluj;37.0;2;fără informații;2;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1980;bloc;222;1;129;1;262;1;202;1;297;1;216;1;204;1;649;1;97;8;Excellent - Everything you need within walking distance
IDDvtx;https://www.storia.ro/ro/ofărăa/ultimul-etaj-terasăspaioas-1150-eur-mp-exclusiv-dezvoltator-IDDvtx;Ultimul Etaj - terasă  SpaÈ›ioasÄƒ | 1150 EUR/mp -EXCLUSIV DEZVOLTATOR!;127475.0;1733.0;44.5490478;26.1251037;Strada 1 Decembrie, Tunari, Tunari, Ilfov;73.56;2;centrală pe gaz;3;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;balcon bucătărie  separată;2025;;345;1;1027;0;10;1;161;1;1284;1;80;1;1211;0;1138;1;100;6;Excellent - Everything you need within walking distance
IDDL6g;https://www.storia.ro/ro/ofărăa/3-camere-matei-basarab-pret-promotional-IDDL6g;3 Camere Matei Basarab, Pret Promotional;205925.0;2860.0;44.4272848;26.0924412;Centrul Civic, Sectorul 3, Bucuresti;72.0;3;centrală pe gaz;3;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;balcon bucătărie  separată;2025;clădire de apartamente;920;1;342;1;435;1;132;1;313;1;739;1;450;1;958;1;93;8;Excellent - Everything you need within walking distance
IDDsSG;https://www.storia.ro/ro/ofărăa/apartament-2-camere-rediu-zona-mega-image-0-comision-la-cumparare-IDDsSG;APARTAMENT 2 CAMERE REDIU zona Mega Image 0% COMISION la cumparare;88000.0;1670.0;47.2100127;27.5089568;Soseaua Rediu, Rediu, Iasi;52.7;2;centrală pe gaz;1;450 â‚¬;gata de utilizare;locuință nouă;drept de proprietate;2027-07-01;agenție;balcon;2021;;791;1;2641;0;140;1;1952;0;-1;0;1385;0;2137;0;2717;0;62;2;Above Average - Most amenities within reach
IDD6FR;https://www.storia.ro/ro/ofărăa/apartament-3-camere-drumul-cooperativei-bucuresti-IDD6FR;Apartament 3 camere Drumul Cooperativei, Bucuresti;134000.0;1594.0;44.4068092;26.0242288;Drumul Cooperativei, Ghencea, Sectorul 5, Bucuresti;84.06;3;centrală pe gaz;3;fără informații;în construcție;locuință nouă;fără informații;fără informații;dezvoltator;balcon bucătărie  separată scară iinterioară;2025;bloc;719;1;572;1;376;1;800;1;702;1;787;1;1083;0;1166;1;97;7;Excellent - Everything you need within walking distance
IDDJpo;https://www.storia.ro/ro/ofărăa/2-camere-finalizat-grand-arena-sector-4-IDDJpo;2 camere FINALIZAT Grand Arena Sector 4;67000.0;1264.0;44.3670339;26.1394839;IMGB, Sectorul 4, Bucuresti;53.0;2;fără informații;3;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;balcon;2024;clădire de apartamente;307;1;318;1;343;1;443;1;382;1;354;1;446;1;830;1;97;8;Excellent - Everything you need within walking distance
IDDL3w;https://www.storia.ro/ro/ofărăa/apartament-3-camere-complet-mobilat-loc-de-parcare-inclus-IDDL3w;Apartament 3 camere complet mobilat, loc de parcare inclus;166000.0;1894.0;44.37349;26.1394921;Aparatorii Patriei, Sectorul 4, Bucuresti;0;0;;;;;;;;;;2017;;434;1;403;1;206;1;315;1;322;1;315;1;324;1;743;1;97;8;Excellent - Everything you need within walking distance
IDDLVV;https://www.storia.ro/ro/ofărăa/ap-3-cam-decomandat-bloc-89-67-mp-etaj-2-semi-mobilat-tomesti-IDDLVV;Ap 3 Cam, Decomandat, Bloc 89, 67 mp, Etaj 2, Semi Mobilat, Tomesti;93900.0;1401.0;47.1332292;27.7080713;Tomesti, Tomesti, Iasi;67.0;3;centrală pe gaz;2;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1989;bloc;888;1;300;1;522;0;1145;0;1177;1;635;1;768;1;453;1;92;6;Excellent - Everything you need within walking distance
IDDCLi;https://www.storia.ro/ro/ofărăa/penthouse-spectaculos-de-118-mp-3-camere-etaj-3-comision-0-IDDCLi;Penthouse spectaculos de 118 mp | 3 camere | Etaj 3, comision 0%;150467.0;1270.0;44.56718739999999;26.0835112;Otopeni, Ilfov;118.51;3;centrală pe gaz;3;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;balcon bucătărie  separată;2025;;1104;0;641;1;530;0;1682;0;1844;0;436;1;1461;0;1187;1;82;3;Very Good - Highly accessible location
IDDifC;https://www.storia.ro/ro/ofărăa/apartament-4-camere-zona-ion-mester-IDDifC;APARTAMENT 4 CAMERE ZONA ION MESTER;227000.0;2873.0;46.7568507;23.5603859;Strada Ion Mester, Manastur, Cluj-Napoca, Cluj;79.0;4;centrală pe gaz;2;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1980;bloc;284;1;267;1;192;1;161;1;210;1;497;1;221;1;243;1;100;8;Excellent - Everything you need within walking distance
IDDbI0;https://www.storia.ro/ro/ofărăa/apartament-4-camere-independenei-cu-garaj-subteran-IDDbI0;Apartament 4 Camere INDEPENDENÈšEI cu garaj subteran;260000.0;2600.0;47.16491509999999;27.5867552;Centru, Iasi, Iasi;100.0;4;centrală pe gaz;4;fără informații;de renovat;locuință utilizată;fără informații;fără informații;agenție;balcon garaj bucătărie  separată scară iinterioară debara;1978;bloc;239;1;98;1;122;1;480;1;173;1;301;1;75;1;460;1;100;8;Excellent - Everything you need within walking distance
IDCZVz;https://www.storia.ro/ro/ofărăa/proprietar-apartament-3-camere-106mp-parcare-subteranaopional-IDCZVz;Proprietar Apartament 3 camere (106mp) + parcare subterana(opÈ›ional);175000.0;1651.0;45.66554190000001;25.6094527;Tractorul, Brasov, Brasov;106.0;3;centrală pe gaz;7;690 â‚¬;gata de utilizare;locuință nouă;drept de proprietate;fără informații;privat;balcon garaj bucătărie  separată;2025;bloc;230;1;388;1;12;1;728;1;1096;1;286;1;138;1;516;1;100;8;Excellent - Everything you need within walking distance
IDCZ3a;https://www.storia.ro/ro/ofărăa/apartament-de-vnzare-decomandat-3-camere-boxa-de-depozitare-IDCZ3a;Apartament De VÃ¢nzare decomandat, 3 camere, boxa de depozitare;118000.0;1543.0;44.226911;28.5983315;Palazu Mare, Constanta, Constanta;76.45;3;centrală pe gaz;0;fără informații;în construcție;locuință nouă;drept de proprietate;fără informații;privat;balcon grădină beci bucătărie  separată;2025;bloc;519;1;1115;0;124;1;548;1;685;1;323;1;1181;0;549;1;100;6;Excellent - Everything you need within walking distance
IDDKNS;https://www.storia.ro/ro/ofărăa/promotie-garsoniera-berceni-direct-dezvoltator-IDDKNS;Promotie! Garsoniera Berceni Direct Dezvoltator!;57800.0;1445.0;44.3799048;26.1690624;Popesti Leordeni, Ilfov;0;0;;;;;;;;;;2025;;72;1;147;1;29;1;75;1;1512;0;0;0;298;1;855;1;100;6;Excellent - Everything you need within walking distance
